Month,Avg. Temp,Min. Temp,Max. Temp,Precipitation,Heating Degrees Days,Cooling Degrees Days
"March, 1995",31.1,20.7,41.6,1.89,1022,
"February, 1995",26,14.9,37.2,0.42,1108,
"January, 1995",19.2,9.9,28.4,0.36,1425,
"December, 1994",23.4,14.2,32.6,0.43,1291,
"November, 1994",34,23.6,44.4,0.67,907,
"October, 1994",49.5,38.4,60.5,2.89,473,
"September, 1994",62.5,48.6,76.3,1.3,145,67
"August, 1994",69,55.5,82.5,1.89,45,151
"July, 1994",68.8,55.8,81.8,3.63,54,163
"June, 1994",67.5,55.2,79.8,3.07,67,152
"May, 1994",60.3,46.6,74,1.26,201,59
"April, 1994",45.1,31.4,58.9,2.1,595,
"March, 1994",36.2,24.4,48,0.35,892,
"February, 1994",12.2,1.9,22.5,0.61,1452,
"January, 1994",9.8,0.5,19,0.7,1700,
"December, 1993",23.6,14.5,32.7,0.63,1290,
"November, 1993",28.2,17.9,38.5,1.24,1094,
"October, 1993",46,32,59.9,0.62,585,
"September, 1993",55,41.8,68.3,1.66,313,13
"August, 1993",68,55.9,80,1.89,50,151
"July, 1993",66.7,56.4,77,6,72,147
"June, 1993",61.6,50.6,72.6,5.67,154,69
"May, 1993",56.1,43.5,68.6,3.19,305,24
"April, 1993",43.2,32.1,54.3,2.29,656,
"March, 1993",32.5,22.1,42.8,0.98,1044,
"February, 1993",13.7,4.4,23.1,0.75,1409,
"January, 1993",13,2.7,23.3,0.51,1578,
"December, 1992",17.2,7.2,27.1,0.44,1450,
"November, 1992",29.4,22.9,35.9,1.19,1065,
"October, 1992",47.7,33.7,61.6,0.69,535,
"September, 1992",59.8,45,74.5,1.43,204,36
"August, 1992",64.9,52.6,77.1,2.44,96,86
"July, 1992",64.2,53.7,74.6,4.68,118,89
"June, 1992",63.7,51.5,75.8,4.09,125,88
"May, 1992",59,43.5,74.5,1.39,239,42
"April, 1992",44.3,31.7,57,1.02,636,
"March, 1992",38.3,26.2,50.5,1.19,841,
"February, 1992",31.3,21.3,41.3,0.68,944,
"January, 1992",27.4,16,38.7,0.59,1163,
"December, 1991",27.3,16.3,38.3,0.07,1180,
"November, 1991",26.7,17.3,36,0.85,1159,
"October, 1991",45.5,31.2,59.8,1.29,595,
"September, 1991",60.8,46.9,74.8,1.32,176,51
"August, 1991",72.8,59.2,86.4,1.68,18,239
"July, 1991",72.4,59,85.9,1.67,25,251
"June, 1991",69.3,58.5,80.2,4.2,49,200
"May, 1991",58.1,47.6,68.6,5.33,241,46
"April, 1991",47.4,35.4,59.3,3.09,526,2
"March, 1991",35.8,23.7,47.9,0.71,898,
"February, 1991",30.9,18.7,43.1,0.85,954,
"January, 1991",14.2,3.6,24.7,0.18,1562,
"December, 1990",15.1,2.9,27.3,0.43,1527,
"November, 1990",36.7,23.7,49.8,0.26,851,
"October, 1990",47.3,32.5,62.2,0.92,547,
"September, 1990",65,50,80.1,0.91,103,104
"August, 1990",71.7,58,85.3,1.96,23,213
"July, 1990",71,58.1,83.9,2.57,36,205
"June, 1990",67.5,54.6,80.3,3.79,69,150
"May, 1990",54.2,42.1,66.4,3.25,351,17
"April, 1990",45,30.7,59.4,1.6,598,
"March, 1990",36,24.5,47.4,1.13,894,
